_row_id,product_type,price,sales_volume,rating,reviews_numeric,predicted_baseline,predicted_modified,sales_lift_absolute,sales_lift_percentage,new_price,original_price,revenue_baseline,revenue_modified,revenue_lift_percentage,unit_economics_score
0,Kem chống nắng vật lý,350.89,4579.0,2.9,866.0,4292.398705081217,4256.4732193526825,-35.92548572853411,-0.8369559352910663,403.52349999999996,350.89,1506159.781625948,1717586.971129462,14.037500674415268,13.619022706769735
1,Kem chống nắng vật lý,286.54,241.0,5.0,998.0,593.6348292152625,817.9080035447645,224.273174329502,37.77965228657037,329.521,286.54,170100.12396334132,269517.86323607434,58.44660012955592,77.3364262728411
2,Thực phẩm sạch,115.83,2383.0,2.5,934.0,2193.6052057253496,2140.706581717413,-52.89862400793663,-2.4114924540601135,133.2045,115.83,254085.29097916724,285151.74986437714,12.226783677830872,11.021037450800815
3,Mỹ phẩm tự nhiên,162.87,228.0,1.5,888.0,427.62554518327437,533.3436722395512,105.71812705627684,24.7221262263384,187.3005,162.87,69647.3725439999,99895.53648230406,43.43044516028915,55.791508273458355
4,Kem chống nắng vật lý,482.05,2166.0,2.3,272.0,2387.3632000920493,2798.1554217266653,410.792221634616,17.206942857240033,554.3575,482.05,1150828.4306043724,1551178.4441998398,34.787984285826035,43.39145571444605
5,Nước hoa nữ,188.57,4555.0,3.0,635.0,3929.6950751042227,3861.333857569159,-68.36121753506359,-1.7396061584562135,216.85549999999998,188.57,741022.6003124033,837351.4843500888,12.999452917775347,12.129649838547241
6,Sản phẩm chăm sóc thú cưng,459.99,285.0,1.9,221.0,409.250641025641,569.21,159.95935897435902,39.08591531426263,528.9884999999999,459.99,188251.2023653846,301105.544085,59.948802611402016,79.49176026853333
7,Điện thoại thông minh,365.37,1327.0,2.5,109.0,2366.7310082377935,2493.604300008456,126.87329177066249,5.360697575223348,420.1755,365.37,864732.5084798426,1047751.433558203,21.16480221150686,23.845150999118534
8,Nước tẩy trang,456.59,1795.0,3.4,247.0,1864.5279920915948,2423.328077786266,558.8000856946712,29.97005612491873,525.0785,456.59,851324.8359091012,1272437.4720918958,49.46556454365654,64.4505926061159
9,Bột ăn dặm,177.76,1311.0,1.1,509.0,1468.1928857825185,1492.184365254435,23.99147947191659,1.6340822588259303,204.42399999999998,177.76,260985.9673767005,305038.2966827726,16.879194597649796,17.69623572706276
10,Đồ gỗ,449.28,2691.0,4.8,916.0,2290.8446023166025,2181.9335,-108.91110231660241,-4.754189882913347,516.6719999999999,449.28,1029230.6629288031,1127343.9453119999,9.53268163464964,7.155586693192966
11,Sản phẩm làm sạch,416.57,50.0,2.6,505.0,277.45866715686276,442.2170795454546,164.75841238859186,59.381245529967465,479.05549999999994,416.57,115580.95697753431,211846.5241501875,83.28843235946256,112.97905512444629
